Modell;Hersteller;Typ;Generation;Kapazität;Taktfrequenz;Timings;Spannung
Vengeance LPX;Corsair;DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL16-18-18-36;1.35V
Vengeance RGB Pro;Corsair;DIMM;DDR4;32 GB (2x16 GB);3600 MHz;CL18-22-22-42;1.35V
Ripjaws V;G.Skill;DIMM;DDR4;16 GB (2x8 GB);3600 MHz;CL16-19-19-39;1.35V
Trident Z Neo;G.Skill;DIMM;DDR4;32 GB (2x16 GB);3600 MHz;CL16-19-19-39;1.35V
Ballistix;Crucial;DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL16-18-18-36;1.35V
T-Force Vulcan Z;Teamgroup;DIMM;DDR4;16 GB (2x8 GB);3000 MHz;CL16-18-18-38;1.35V
Vengeance DDR5;Corsair;DIMM;DDR5;32 GB (2x16 GB);5600 MHz;CL36-36-36-76;1.25V
Dominator Platinum RGB DDR5;Corsair;DIMM;DDR5;32 GB (2x16 GB);6200 MHz;CL36-39-39-76;1.35V
Trident Z5 RGB;G.Skill;DIMM;DDR5;32 GB (2x16 GB);6000 MHz;CL30-40-40-96;1.35V
Trident Z5 RGB;G.Skill;DIMM;DDR5;64 GB (2x32 GB);6400 MHz;CL32-39-39-102;1.40V
FURY Beast DDR5;Kingston;DIMM;DDR5;32 GB (2x16 GB);5200 MHz;CL40-40-40;1.25V
Pro DDR5;Crucial;DIMM;DDR5;16 GB (1x16 GB);5600 MHz;CL46-45-45;1.1V
### Notebook-Arbeitsspeicher (SO-DIMM) ###
Vengeance Performance;Corsair;SO-DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL22;1.2V
Vengeance Performance;Corsair;SO-DIMM;DDR4;32 GB (2x16 GB);2666 MHz;CL18;1.2V
FURY Impact;Kingston;SO-DIMM;DDR4;16 GB (1x16 GB);3200 MHz;CL20;1.2V
DDR4 SO-DIMM;Crucial;SO-DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL22;1.2V
DDR4 SO-DIMM;Crucial;SO-DIMM;DDR4;8 GB (1x8 GB);2666 MHz;CL19;1.2V
DDR4 SO-DIMM;Samsung;SO-DIMM;DDR4;16 GB (1x16 GB);3200 MHz;CL22;1.2V
Vengeance DDR5;Corsair;SO-DIMM;DDR5;32 GB (2x16 GB);4800 MHz;CL40-40-40-77;1.1V
FURY Impact DDR5;Kingston;SO-DIMM;DDR5;32 GB (2x16 GB);5600 MHz;CL40;1.1V
FURY Impact DDR5;Kingston;SO-DIMM;DDR5;64 GB (2x32 GB);5600 MHz;CL40;1.1V
DDR5 SO-DIMM;Crucial;SO-DIMM;DDR5;16 GB (1x16 GB);4800 MHz;CL40;1.1V
DDR5 SO-DIMM;Crucial;SO-DIMM;DDR5;32 GB (2x16 GB);5200 MHz;CL42;1.1V
DDR5 SO-DIMM;Samsung;SO-DIMM;DDR5;8 GB (1x8 GB);4800 MHz;CL40;1.1V
Vengeance LPX;Corsair;DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL16-18-18-36;1.35V
Vengeance RGB Pro;Corsair;DIMM;DDR4;32 GB (2x16 GB);3600 MHz;CL18-22-22-42;1.35V
Ripjaws V;G.Skill;DIMM;DDR4;16 GB (2x8 GB);3600 MHz;CL16-19-19-39;1.35V
Trident Z Neo;G.Skill;DIMM;DDR4;32 GB (2x16 GB);3600 MHz;CL16-19-19-39;1.35V
Ballistix;Crucial;DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL16-18-18-36;1.35V
T-Force Vulcan Z;Teamgroup;DIMM;DDR4;16 GB (2x8 GB);3000 MHz;CL16-18-18-38;1.35V
Vengeance DDR5;Corsair;DIMM;DDR5;32 GB (2x16 GB);5600 MHz;CL36-36-36-76;1.25V
Dominator Platinum RGB DDR5;Corsair;DIMM;DDR5;32 GB (2x16 GB);6200 MHz;CL36-39-39-76;1.35V
Trident Z5 RGB;G.Skill;DIMM;DDR5;32 GB (2x16 GB);6000 MHz;CL30-40-40-96;1.35V
Trident Z5 RGB;G.Skill;DIMM;DDR5;64 GB (2x32 GB);6400 MHz;CL32-39-39-102;1.40V
FURY Beast DDR5;Kingston;DIMM;DDR5;32 GB (2x16 GB);5200 MHz;CL40-40-40;1.25V
Pro DDR5;Crucial;DIMM;DDR5;16 GB (1x16 GB);5600 MHz;CL46-45-45;1.1V
Dominator Titanium DDR5;Corsair;DIMM;DDR5;64 GB (2x32 GB);6600 MHz;CL32-39-39-76;1.40V
Trident Z5 Royal Elite;G.Skill;DIMM;DDR5;32 GB (2x16 GB);7200 MHz;CL34-45-45-115;1.40V
Viper Venom DDR5;Patriot;DIMM;DDR5;32 GB (2x16 GB);6200 MHz;CL36-36-36-72;1.35V
T-Force Delta RGB;Teamgroup;DIMM;DDR5;32 GB (2x16 GB);6000 MHz;CL30-36-36-76;1.35V
Trident Z RGB;G.Skill;DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL14-14-14-34;1.35V
Dominator Platinum RGB;Corsair;DIMM;DDR4;32 GB (2x16 GB);3200 MHz;CL16-18-18-36;1.35V
HyperX Fury RGB (jetzt Kingston FURY);Kingston;DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL16-18-18;1.35V
HyperX Predator (jetzt Kingston FURY);Kingston;DIMM;DDR4;16 GB (2x8 GB);3600 MHz;CL17-19-19;1.35V
Ballistix MAX;Crucial;DIMM;DDR4;16 GB (2x8 GB);4000 MHz;CL18-19-19-39;1.35V
Viper Steel;Patriot;DIMM;DDR4;16 GB (2x8 GB);4400 MHz;CL19-19-19-39;1.45V
Spectrix D60G;XPG (ADATA);DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL16-20-20;1.35V
T-Force Xtreem ARGB;Teamgroup;DIMM;DDR4;16 GB (2x8 GB);3600 MHz;CL14-15-15-35;1.45V
Vengeance Pro;Corsair;DIMM;DDR3;16 GB (2x8 GB);1866 MHz;CL9-10-9-27;1.5V
Dominator Platinum;Corsair;DIMM;DDR3;8 GB (2x4 GB);2133 MHz;CL9-11-10-30;1.65V
Ripjaws X;G.Skill;DIMM;DDR3;8 GB (2x4 GB);1600 MHz;CL9-9-9-24;1.5V
TridentX;G.Skill;DIMM;DDR3;16 GB (2x8 GB);2400 MHz;CL10-12-12-31;1.65V
HyperX Fury Blue;Kingston;DIMM;DDR3;8 GB (2x4 GB);1600 MHz;CL10;1.5V
Ballistix Tactical;Crucial;DIMM;DDR3;8 GB (1x8 GB);1600 MHz;CL8-8-8-24;1.5V
Dominator;Corsair;DIMM;DDR2;4 GB (2x2 GB);1066 MHz;CL5-5-5-15;2.1V
XMS2;Corsair;DIMM;DDR2;2 GB (2x1 GB);800 MHz;CL5-5-5-18;1.8V
Reaper HPC;OCZ;DIMM;DDR2;4 GB (2x2 GB);800 MHz;CL4-4-4-15;2.0V
ValueRAM;Kingston;DIMM;DDR2;2 GB (1x2 GB);667 MHz;CL5;1.8V
Vengeance Performance;Corsair;SO-DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL22;1.2V
Vengeance Performance;Corsair;SO-DIMM;DDR4;32 GB (2x16 GB);2666 MHz;CL18;1.2V
FURY Impact;Kingston;SO-DIMM;DDR4;16 GB (1x16 GB);3200 MHz;CL20;1.2V
DDR4 SO-DIMM;Crucial;SO-DIMM;DDR4;16 GB (2x8 GB);3200 MHz;CL22;1.2V
DDR4 SO-DIMM;Crucial;SO-DIMM;DDR4;8 GB (1x8 GB);2666 MHz;CL19;1.2V
DDR4 SO-DIMM;Samsung;SO-DIMM;DDR4;16 GB (1x16 GB);3200 MHz;CL22;1.2V
Vengeance DDR5;Corsair;SO-DIMM;DDR5;32 GB (2x16 GB);4800 MHz;CL40-40-40-77;1.1V
FURY Impact DDR5;Kingston;SO-DIMM;DDR5;32 GB (2x16 GB);5600 MHz;CL40;1.1V
FURY Impact DDR5;Kingston;SO-DIMM;DDR5;64 GB (2x32 GB);5600 MHz;CL40;1.1V
DDR5 SO-DIMM;Crucial;SO-DIMM;DDR5;16 GB (1x16 GB);4800 MHz;CL40;1.1V
DDR5 SO-DIMM;Crucial;SO-DIMM;DDR5;32 GB (2x16 GB);5200 MHz;CL42;1.1V
DDR5 SO-DIMM;Samsung;SO-DIMM;DDR5;8 GB (1x8 GB);4800 MHz;CL40;1.1V
Ripjaws DDR4;G.Skill;SO-DIMM;DDR4;32 GB (2x16 GB);3200 MHz;CL18-18-18-43;1.35V
HyperX Impact (jetzt FURY);Kingston;SO-DIMM;DDR4;16 GB (2x8 GB);2666 MHz;CL15;1.2V
Ballistix Sport LT;Crucial;SO-DIMM;DDR4;16 GB (1x16 GB);2666 MHz;CL16;1.2V
Vengeance Performance;Corsair;SO-DIMM;DDR3;8 GB (1x8 GB);1600 MHz;CL11;1.35V (DDR3L)
ValueRAM;Kingston;SO-DIMM;DDR3;4 GB (1x4 GB);1333 MHz;CL9;1.5V
DDR3L SO-DIMM;Crucial;SO-DIMM;DDR3L;8 GB (1x8 GB);1600 MHz;CL11;1.35V
Vengeance DDR5;Corsair;DIMM;DDR5;32 GB (2x16 GB);5600 MHz;CL36-36-36-76;1.25V
Vengeance RGB DDR5;Corsair;DIMM;DDR5;32 GB (2x16 GB);6000 MHz;CL36-36-36-76;1.35V
Dominator Platinum RGB DDR5;Corsair;DIMM;DDR5;32 GB (2x16 GB);6200 MHz;CL36-39-39-76;1.35V
Dominator Titanium DDR5;Corsair;DIMM;DDR5;64 GB (2x32 GB);6600 MHz;CL32-39-39-76;1.40V
Trident Z5 RGB;G.Skill;DIMM;DDR5;32 GB (2x16 GB);6000 MHz;CL30-40-40-96;1.35V
Trident Z5 RGB;G.Skill;DIMM;DDR5;64 GB (2x32 GB);6400 MHz;CL32-39-39-102;1.40V
Trident Z5 Royal Elite;G.Skill;DIMM;DDR5;32 GB (2x16 GB);7200 MHz;CL34-45-45-115;1.40V
Flare X5 (AMD EXPO);G.Skill;DIMM;DDR5;32 GB (2x16 GB);6000 MHz;CL30-38-38-96;1.35V
FURY Beast DDR5;Kingston;DIMM;DDR5;32 GB (2x16 GB);5200 MHz;CL40-40-40;1.25V
FURY Renegade DDR5;Kingston;DIMM;DDR5;32 GB (2x16 GB);6400 MHz;CL32-39-39;1.40V
Pro DDR5;Crucial;DIMM;DDR5;16 GB (1x16 GB);5600 MHz;CL46-45-45;1.1V
Pro Overclocking DDR5;Crucial;DIMM;DDR5;32 GB (2x16 GB);6000 MHz;CL36-38-38;1.35V
Viper Venom DDR5;Patriot;DIMM;DDR5;32 GB (2x16 GB);6200 MHz;CL36-36-36-72;1.35V
Viper Xtreme 5;Patriot;DIMM;DDR5;32 GB (2x16 GB);7600 MHz;CL36-48-48-84;1.45V
T-Force Delta RGB;Teamgroup;DIMM;DDR5;32 GB (2x16 GB);6000 MHz;CL30-36-36-76;1.35V
T-Create Expert;Teamgroup;DIMM;DDR5;32 GB (2x16 GB);6000 MHz;CL38-38-38-78;1.25V
Ripjaws S5;G.Skill;DIMM;DDR5;32 GB (2x16 GB);5200 MHz;CL40-40-40-76;1.10V
